09:13:02:679, Thread-9: Door is LIVE
09:13:02:721, Thread-9: Door made new customer 8ce05678-769c-4098-aa2b-6ca2c91a9bae
09:13:02:722, Thread-9: Customer 8ce05678-769c-4098-aa2b-6ca2c91a9bae is now waiting
09:13:02:829, Thread-9: Door made new customer 7cdca18d-1617-4f5e-84f6-6bab4d4dc375
09:13:02:838, Thread-9: Customer 7cdca18d-1617-4f5e-84f6-6bab4d4dc375 is now waiting
09:13:02:943, Thread-9: Door made new customer 4edce6e5-12f0-4352-b12f-52265ee5cc8d
09:13:02:953, Thread-9: Customer 4edce6e5-12f0-4352-b12f-52265ee5cc8d is now waiting
09:13:03:56, Thread-9: Door made new customer 5049271f-e9d1-43e4-84f9-d736fee97dce
09:13:03:66, Thread-9: Customer 5049271f-e9d1-43e4-84f9-d736fee97dce is now waiting
09:13:03:172, Thread-9: Door made new customer b57b72b6-38b2-4573-a4fe-0122e7c84603
09:13:03:181, Thread-9: Customer b57b72b6-38b2-4573-a4fe-0122e7c84603 is now waiting
09:13:03:287, Thread-9: Door made new customer d8cc5ac5-5697-4493-ab67-22f22549b843
09:13:03:296, Thread-9: Customer d8cc5ac5-5697-4493-ab67-22f22549b843 is now waiting
09:13:03:403, Thread-9: Door made new customer 3695225f-a7ca-4b42-bbd8-3cb45ebfeb08
09:13:03:404, Thread-9: Customer 3695225f-a7ca-4b42-bbd8-3cb45ebfeb08 is now waiting
09:13:03:508, Thread-9: Door made new customer 40e4a16c-1078-4e6e-965d-b14dd5464020
09:13:03:517, Thread-9: Customer 40e4a16c-1078-4e6e-965d-b14dd5464020 is now waiting
09:13:03:620, Thread-9: Door made new customer 45717e0a-f043-4177-9ff2-b70fd843b942
09:13:03:629, Thread-9: Customer 45717e0a-f043-4177-9ff2-b70fd843b942 is now waiting
09:13:03:732, Thread-9: Door made new customer ced483eb-2bd8-4c58-bf2e-c9acdddb9b07
09:13:03:740, Thread-9: Customer ced483eb-2bd8-4c58-bf2e-c9acdddb9b07 is now waiting
09:13:03:844, Thread-9: Door made new customer 99710e8d-b6d0-4bfd-8b3e-c9f6ab062259
09:13:03:852, Thread-9: Customer 99710e8d-b6d0-4bfd-8b3e-c9f6ab062259 is now waiting
09:13:03:956, Thread-9: Door made new customer f30c8e92-68bb-4a6d-bd41-4700d96280e4
09:13:03:965, Thread-9: Customer f30c8e92-68bb-4a6d-bd41-4700d96280e4 is now waiting
09:13:04:67, Thread-9: Door made new customer 263bd933-aaa8-4bb0-9d5e-9341c56982b6
09:13:04:77, Thread-9: Customer 263bd933-aaa8-4bb0-9d5e-9341c56982b6 is now waiting
09:13:04:179, Thread-9: Door made new customer 1bb0eed9-f30c-4e5f-98e8-33f4de434fa0
09:13:04:188, Thread-9: Customer 1bb0eed9-f30c-4e5f-98e8-33f4de434fa0 is now waiting
09:13:04:293, Thread-9: Door made new customer c1767132-17e4-4ce0-810e-4bae5688edbe
09:13:04:302, Thread-9: Customer c1767132-17e4-4ce0-810e-4bae5688edbe is now waiting
09:13:04:406, Thread-9: Door made new customer b1c5a85d-e449-4423-9529-54f5d6fb069b
09:13:04:414, Thread-9: Customer b1c5a85d-e449-4423-9529-54f5d6fb069b is now waiting
09:13:04:517, Thread-9: Door made new customer 93ed7fac-8d86-407e-b077-c43e9bd4feb0
09:13:04:527, Thread-9: Customer 93ed7fac-8d86-407e-b077-c43e9bd4feb0 is now waiting
09:13:04:631, Thread-9: Door made new customer 258d9825-80a1-40cd-a2d2-31bfed5eca9e
09:13:04:640, Thread-9: Customer 258d9825-80a1-40cd-a2d2-31bfed5eca9e is now waiting
09:13:04:743, Thread-9: Door made new customer a0a714e9-3407-42b9-8596-ca3c53cdfd53
09:13:04:753, Thread-9: Customer a0a714e9-3407-42b9-8596-ca3c53cdfd53 is now waiting
09:13:04:856, Thread-9: Door made new customer c19200d6-7df3-4ed3-9faf-529c86599acf
09:13:04:865, Thread-9: Customer c19200d6-7df3-4ed3-9faf-529c86599acf is now waiting
09:13:04:971, Thread-9: Door made new customer 1982bff6-3c38-4f73-b78d-b27d85bdac49
09:13:04:986, Thread-9: Customer 1982bff6-3c38-4f73-b78d-b27d85bdac49 is now waiting
09:13:05:90, Thread-9: Door made new customer cba56e3d-e90e-482b-9f98-a469acf3809b
09:13:05:98, Thread-9: Customer cba56e3d-e90e-482b-9f98-a469acf3809b is now waiting
09:13:05:201, Thread-9: Door made new customer 8cb23a29-4cc5-45a5-8e47-402efe660196
09:13:05:211, Thread-9: Customer 8cb23a29-4cc5-45a5-8e47-402efe660196 is now waiting
09:13:05:316, Thread-9: Door made new customer a9232b3b-2d49-4034-a048-8f975939d787
10:21:17:701, main: Clock is created
10:21:17:763, main: WaitingArea is created
10:21:17:766, Thread-2: Waitress is LIVE
10:21:17:766, Thread-1: Waitress is LIVE
10:21:17:766, Thread-3: Waitress is LIVE
10:21:17:766, Thread-4: Waitress is LIVE
10:21:17:767, Thread-5: Waitress is LIVE
10:21:17:768, Thread-6: Waitress is LIVE
